customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update,customer_id_old,segment
1,1, MARY, SMITH,MARY.SMITH@SAKILACUSTOMER.ORG,5,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,MS-00001, Consumer
2,1, PATRICIA, JOHNSON,PATRICIA.JOHNSON@SAKILACUSTOMER.ORG,6,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,PJ-00002, Corporate
3,1, LINDA, WILLIAMS,LINDA.WILLIAMS@SAKILACUSTOMER.ORG,7,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,LW-00003, Consumer
4,2, BARBARA, JONES,BARBARA.JONES@SAKILACUSTOMER.ORG,8,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,BJ-00004, Corporate
5,1, ELIZABETH, BROWN,ELIZABETH.BROWN@SAKILACUSTOMER.ORG,9,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,EB-00005, Corporate
6,2, JENNIFER, DAVIS,JENNIFER.DAVIS@SAKILACUSTOMER.ORG,10,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,JD-00006, Home Office
7,1, MARIA, MILLER,MARIA.MILLER@SAKILACUSTOMER.ORG,11,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,MM-00007, Consumer
8,2, SUSAN, WILSON,SUSAN.WILSON@SAKILACUSTOMER.ORG,12,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,SW-00008, Corporate
9,2, MARGARET, MOORE,MARGARET.MOORE@SAKILACUSTOMER.ORG,13,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,MM-00009, Consumer
10,1, DOROTHY, TAYLOR,DOROTHY.TAYLOR@SAKILACUSTOMER.ORG,14,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,DT-00010, Corporate
11,2, LISA, ANDERSON,LISA.ANDERSON@SAKILACUSTOMER.ORG,15,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,LA-00011, Consumer
12,1, NANCY, THOMAS,NANCY.THOMAS@SAKILACUSTOMER.ORG,16,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,NT-00012, Home Office
13,2, KAREN, JACKSON,KAREN.JACKSON@SAKILACUSTOMER.ORG,17,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,KJ-00013, Consumer
14,2, BETTY, WHITE,BETTY.WHITE@SAKILACUSTOMER.ORG,18,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,BW-00014, Consumer
15,1, HELEN, HARRIS,HELEN.HARRIS@SAKILACUSTOMER.ORG,19,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,HH-00015, Corporate
16,2, SANDRA, MARTIN,SANDRA.MARTIN@SAKILACUSTOMER.ORG,20,0, 2006-02-14 22:04:36, 2006-02-15 04:57:20,SM-00016, Corporate
17,1, DONNA, THOMPSON,DONNA.THOMPSON@SAKILACUSTOMER.ORG,21,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,DT-00017, Corporate
18,2, CAROL, GARCIA,CAROL.GARCIA@SAKILACUSTOMER.ORG,22,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,CG-00018, Corporate
19,1, RUTH, MARTINEZ,RUTH.MARTINEZ@SAKILACUSTOMER.ORG,23,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,RM-00019, Consumer
20,2, SHARON, ROBINSON,SHARON.ROBINSON@SAKILACUSTOMER.ORG,24,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,SR-00020, Consumer
21,1, MICHELLE, CLARK,MICHELLE.CLARK@SAKILACUSTOMER.ORG,25,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,MC-00021, Consumer
22,1, LAURA, RODRIGUEZ,LAURA.RODRIGUEZ@SAKILACUSTOMER.ORG,26,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,LR-00022, Consumer
23,2, SARAH, LEWIS,SARAH.LEWIS@SAKILACUSTOMER.ORG,27,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,SL-00023, Corporate
24,2, KIMBERLY, LEE,KIMBERLY.LEE@SAKILACUSTOMER.ORG,28,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,KL-00024, Consumer
25,1, DEBORAH, WALKER,DEBORAH.WALKER@SAKILACUSTOMER.ORG,29,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,DW-00025, Consumer
26,2, JESSICA, HALL,JESSICA.HALL@SAKILACUSTOMER.ORG,30,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,JH-00026, Home Office
27,2, SHIRLEY, ALLEN,SHIRLEY.ALLEN@SAKILACUSTOMER.ORG,31,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,SA-00027, Corporate
28,1, CYNTHIA, YOUNG,CYNTHIA.YOUNG@SAKILACUSTOMER.ORG,32,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,CY-00028, Consumer
29,2, ANGELA, HERNANDEZ,ANGELA.HERNANDEZ@SAKILACUSTOMER.ORG,33,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,AH-00029, Consumer
30,1, MELISSA, KING,MELISSA.KING@SAKILACUSTOMER.ORG,34,1, 2006-02-14 22:04:36, 2006-02-15 04:57:20,MK-00030, Corporate
